,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
0,2021-01-01 00:00:00,2.8,2.4,97.0,0.0,,180.0,8.3,13.0,1004.6,0,12
1,2021-01-01 01:00:00,2.3,1.6,95.0,0.1,0.0,210.0,10.1,17.0,1004.8,0,12
2,2021-01-01 02:00:00,2.1,1.7,97.0,0.0,,230.0,9.7,15.0,1005.1,0,4
3,2021-01-01 03:00:00,2.0,1.6,97.0,0.0,,230.0,5.8,7.0,1005.4,0,4
4,2021-01-01 04:00:00,1.9,1.5,97.0,0.0,,230.0,6.8,9.0,1005.8,0,7
5,2021-01-01 05:00:00,1.8,1.4,97.0,0.2,,210.0,6.8,10.0,1006.0,0,7
6,2021-01-01 06:00:00,1.9,1.6,98.0,0.2,,220.0,6.5,10.0,1006.2,0,7
7,2021-01-01 07:00:00,1.8,1.5,98.0,0.1,0.0,210.0,5.0,9.0,1006.6,0,7
8,2021-01-01 08:00:00,1.7,1.6,99.0,0.0,,200.0,5.8,12.0,1007.3,0,7
9,2021-01-01 09:00:00,1.3,0.9,97.0,0.0,,220.0,6.8,10.0,1007.9,0,4
10,2021-01-01 10:00:00,2.3,1.9,97.0,0.0,,180.0,5.0,12.0,1008.4,0,4
11,2021-01-01 11:00:00,2.9,2.0,94.0,0.0,,200.0,7.2,11.0,1009.0,0,4
12,2021-01-01 12:00:00,3.2,1.2,87.0,0.0,,200.0,7.6,14.0,1009.2,0,4
13,2021-01-01 13:00:00,3.2,1.4,88.0,0.0,0.0,200.0,7.6,13.0,1009.1,0,4
14,2021-01-01 14:00:00,3.5,1.4,86.0,0.0,,210.0,6.8,10.0,1009.0,0,4
15,2021-01-01 15:00:00,3.6,1.8,88.0,0.0,,190.0,5.4,10.0,1009.4,0,4
16,2021-01-01 16:00:00,3.3,1.3,87.0,0.0,,150.0,4.3,6.0,1010.1,0,7
17,2021-01-01 17:00:00,2.7,1.8,94.0,0.1,,280.0,2.9,8.0,1010.4,0,7
18,2021-01-01 18:00:00,2.6,1.6,93.0,0.0,,20.0,1.8,6.0,1010.6,0,4
19,2021-01-01 19:00:00,2.5,1.6,94.0,0.0,0.0,330.0,2.5,11.0,1011.0,0,4
20,2021-01-01 20:00:00,1.9,1.5,97.0,0.0,,40.0,2.5,5.0,1011.6,0,3
21,2021-01-01 21:00:00,1.5,1.2,98.0,0.0,,100.0,2.5,4.0,1012.3,0,3
22,2021-01-01 22:00:00,1.5,1.2,98.0,0.0,,130.0,1.1,4.0,1012.6,0,7
23,2021-01-01 23:00:00,1.8,1.5,98.0,0.0,,20.0,1.4,4.0,1012.8,0,7
